100,0.0166211
200,0.0083615
300,1.72E-4
400,0.0175195
500,0.0268471
600,0.0514522
700,0.0339983
800,0.0547724
900,0.0549189
1000,0.0638087
1100,0.0777407
1200,0.1351143
1300,0.1558998
1400,0.2124003
1500,0.1460827
1600,0.1601256
1700,0.2372333
1800,0.2210272
1900,0.2663227
2000,0.300749
2100,0.3120626
2200,0.4035603
2300,0.4339657
2400,0.4254948
2500,3.702E-4
2600,3.468E-4
2700,0.5596414
2800,0.5966872
2900,0.583581
3000,0.714015
3100,0.7597855
3200,0.70615
3300,0.8125235
3400,0.9049166
3500,1.0469667
3600,1.1327743
3700,1.1847585
3800,1.3778612
3900,1.4523833
4000,1.4286756
4100,5.48E-4
4200,1.8644561
4300,1.6817909
4400,1.9087538
4500,1.9793434
4600,2.0352329
4700,2.3417912
4800,2.4000766
4900,2.7638108
5000,1.1428685
